fountaintype,position,propname,borough,fountaincount,district,point
D,Out in Open,Betsy Head Park,B,1,"D, Out in Open"," (-73.91314195077493,40.663381050966144)"
A,,Herbert Von King Park,B,1,"A,"," (-73.94577305488079,40.69007899619531)"
C,In Playground,Pink Playground,B,1,"C, In Playground"," (-73.8625945007143,40.66670139097241)"
CS Metal,,Central Park,M,1,"CS Metal,"," (-73.96154034939028,40.78086235101139)"
A,Near Ballfield,Isham Park,M,1,"A, Near Ballfield"," (-73.92060211929697,40.87040904683878)"
D,,Albert Capsouto Park,M,1,"D,"," (-74.0057269536085,40.72192421895415)"
A,,Chelsea Park,M,1,"A,"," (-74.00013931631594,40.74963215326909)"
Stone,,Fort Tryon Park,M,1,"Stone,"," (-73.93329236599743,40.861892078366)"
D,"Under Tree, In Shade",Kissena Park,Q,1,"D, Under Tree, In Shade"," (-73.80654244304935,40.74904130915309)"
A,In Playground,Fresh Meadows Playground,Q,1,"A, In Playground"," (-73.79611141219668,40.73443790765743)"
A,,Willowbrook Park,R,1,"A,"," (-74.16107580777779,40.603722357959064)"
A,Out in Open,North Shore Esplanade,R,1,"A, Out in Open"," (-74.08383941848027,40.64821127100722)"
C,Out in Open,Devoe Park,X,1,"C, Out in Open"," (-73.9055094815747,40.863494178779106)"
A,Out in Open,Wolfe's Pond Park,R,1,"A, Out in Open"," (-74.18984105827948,40.51667706198994)"
C,,Story Playground,X,1,"C,"," (-73.8629957734205,40.822277567029)"
C,Near Ballfield,Julio Carballo Fields,X,1,"C, Near Ballfield"," (-73.88923359212791,40.81623160952126)"
A,Out in Open,Sohncke Square,Q,1,"A, Out in Open"," (-73.90618930166747,40.745505372462794)"
E,"Out in Open, Near Ballfield",West Playground,B,1,"E, Out in Open, Near Ballfield"," (-73.97006482039669,40.587477497033106)"
Bottle Filler High Low,Out in Open,Hilltop Playground,B,3,"Bottle Filler High Low, Out in Open"," (-73.9143941909124,40.67528808897897)"
A,Near Ballfield,McCarren Park,B,1,"A, Near Ballfield"," (-73.95497355338944,40.72177137196251)"
A,Under Tree,Flushing Meadows Corona Park,Q,1,"A, Under Tree"," (-73.83635227073438,40.747218069787166)"
C,In Playground,Lieutenant John H. Martinson Playground,R,1,"C, In Playground"," (-74.16250293245068,40.53674267345768)"
E and Dog,"Out in Open, Under Tree",Central Park,M,2,"E and Dog, Out in Open, Under Tree"," (-73.95893688489377,40.79728187330268)"
D,"In Playground, Near Ballfield",Little Flower Playground,M,1,"D, In Playground, Near Ballfield"," (-73.98849687105196,40.712428931065695)"
Other,,Ten Eyck Playground,B,1,"Other,"," (-73.93858592992899,40.70885680328043)"
B,Near Ballfield,Clove Lakes Park,R,1,"B, Near Ballfield"," (-74.10728640995167,40.61819022796676)"
C,Near Ballfield,Breininger Park,Q,1,"C, Near Ballfield"," (-73.72903465088312,40.72562713220435)"
Indoor Drinking Fountain,Indoor,Stuyvesant Square,M,1,"Indoor Drinking Fountain, Indoor"," (-73.98454774307677,40.73321432625797)"
Other,,Central Park,M,1,"Other,"," (-73.96604478201715,40.78418939285894)"
D,Out in Open,Beach 9 Playground,Q,1,"D, Out in Open"," (-73.7445977380367,40.59547823990937)"
E,Out in Open,Manhattan Beach Park,B,1,"E, Out in Open"," (-73.94294054576132,40.57676235071972)"
A,"Under Tree, In Playground, Near Ballfield",Wagner Houses Pool,M,1,"A, Under Tree, In Playground, Near Ballfield"," (-73.93276430600275,40.801662336280955)"
Indoor Drinking Fountain,Indoor,Jackie Robinson Park,M,1,"Indoor Drinking Fountain, Indoor"," (-73.94244846811708,40.824269236153)"
A,"Under Tree, Near Ballfield, In Playground",Happy Warrior Playground,M,1,"A, Under Tree, Near Ballfield, In Playground"," (-73.96885230844794,40.79529278822972)"
E High Low,In Playground,Bowne Park,Q,2,"E High Low, In Playground"," (-73.80592195381918,40.77044694516576)"
E High Low,"Under Tree, In Playground",Tompkins Square Park,M,2,"E High Low, Under Tree, In Playground"," (-73.98254325129749,40.72664187919428)"
Bottle Filler Fountain,Indoor,St. John's Park,B,2,"Bottle Filler Fountain, Indoor"," (-73.93489094490425,40.673861865576676)"
C,Just Outside Playground,Laurelton Playground,Q,1,"C, Just Outside Playground"," (-73.7363053898662,40.67043999110493)"
D,"Out in Open, In Playground",Andries Playground,B,1,"D, Out in Open, In Playground"," (-73.94639522948529,40.6230415279329)"
E High Low,"Just Outside Playground, Near Ballfield",Asser Levy Playground,M,2,"E High Low, Just Outside Playground, Near Ballfield"," (-73.97619653840809,40.73610927227726)"
A,"Out in Open, Near Ballfield",McGuire Fields,B,1,"A, Out in Open, Near Ballfield"," (-73.8987132515359,40.61807228500699)"
C,In Playground,Sean's Place,Q,1,"C, In Playground"," (-73.91844405646177,40.76074659077644)"
